Title,Year,Sample Name,Paper Type(1 for material papers 0 for fuel cell papers),Pt Content wt/%,Zn Content wt/%,Mn Cotent wt/%,Cu Cotent wt/%,Co Cotent wt/%,Fe Cotent wt/%(ICP for metal),Fe,N Content at/%,O Content at/%,S Content at/%,Pyridinic N+metal N Content at/%,Pyrrolic N Content at/%,Graphitic N Content at/%,Oxidized N Content at/%,sum,Pyridinic N+metal N Content ratio at/%,Pyrrolic N Content ratio at/%,Graphitic N Content ratio at/%,Oxidized N Content ratio at/%,Precursor Type(mg),FeC2O4﹞2H2O,Fe(acac)3,Fe(NO3)3,Fe(NO3)3.9H2O,FeCl2,FeCl3,Fe(SCN)3,FeSO4.7H2O,Fe(Ac)2,Ferrocene,Ferrocene(diffusion),"Tris-1,10phenanthroline iron(II) perchlorate",Fe powder,FePc,PFeTTPP,FeTMPPCl,Fe每corrole ,Fe(acac)3,hemin,ZnO,CoTMPP,Co(NO3)2.6H2O,Co(Ac)2,CoCl2,VB12,Mn(Ac)2,H2PtCl6,TMPP,Zinc nitrate hexahydrate,ZnCl2,imidazole,2-methylimidazole,H3BTT.2HCl,purchased ZIF-8,furfuryl alcohol,mPDA,nicarbazin,EDA(ethylenediamine ),ammonium peroxidisulfate ,PANI(by aniline),PAN powder,triethylenetetramine,polyimide,poly(methyl methacrylate),Pyrrole(monomer),polyacrylonitrile-polymethacrylic acid copolymer ,MWCNT,CNF,PSS coated GO ,GO,Graphene nano-platelets (GNP) ,PEI,C3N4,melamine,cyanamide,dicyandiamide ,"1,10-phenanthroline",Vulcan XC-72R,acid-treated KJ600,KJ600,BP2000,EC300,ZnO,SBA-15,MMT,SiO2,NaCl,OMS,PTFE,Fe3O4 microspheres,ZIF-NC,CTAB,F127,PVP,NaOH,Tetraethyl orthosilicate ,PmPDA-KJ600,First Pyrolysis Temperature in amonia /⊥,First Pyrolysis Time amonia/h,First Pyrolysis Temperature in inert atomosphere/⊥,First Pyrolysis Time inert/h,First Pyrolysis Temperature in H2 atomosphere/⊥,First Pyrolysis Time H2/h,Rising Rate ⊥/min,Acid Wash (1 for yes 0 for no),Acid concentration (M),Acid wash temperature/⊥,Acid wash time/h,Second Pyrolysis temperature inert/⊥,Second Pyrolysis time inert,Second Pyrolysis temperature amonia/⊥,Second Pyrolysis time amonia/h,Second Pyrolysis temperature H2/⊥,Second Pyrolysis time H2/h,Raman ID/IG ratio ,BET Surface Area cm2/g,Micropore ratio,Mesopore ratio,Macropore ratio,Onset Potential in Acid Condition (vs. RHE),Half Wave Potential in Acid Condition (vs. RHE),Durability in O2 mV/10000Cycle,Durability in N2 mV/10000Cycle,I/C Ratio(ionomer/catalyst),Effective Area cm2,Cathodic Loading Amount mg cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,Membrane Thickness,Hot Press Temperature ⊥,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,Spray(1 for yes 0 for no),Operating Temperature ⊥,Flowing rate of H2 ml min-1 ,Flowing rate of O2 ml min-1 ,Back Pressure Mpa,Maximum Power Density mW cm-2 ,higher than 700,Current density at 0.6V mA/cm2,Current density at 0.8V mA/cm2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0
Pt-free cathode catalysts prepared via multi-step pyrolysis of Fe phthalocyanine and phenolic resin for fuel cells,2010,1000-III-NH3,0,0,0,0,0,0,0.0059,0.59,0.009,,0,,,,,,,,,,Fe phthalocyanine/phenolic resin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,5,,,,1,0,,,,,1000,1,,,,849,,,,,,,,0.5,1,4,0.5,0.457,Nafion 115,125,120,2,1.5,100,,80,,,0.2,560,0,652,163,1.03,0.837,0.8,0.739,0.7,0.653,0.617,0.583,0.561,0.519,0.491,0.455,0.432,0.416,0.391,0.368,0.349,0.324,0.301,0.27905,0.25903,0.24068,0.22381,0.20824,0.19384,0.18046,0.16802,0.15641,0.14555
"Ordered Mesoporous FeN-Doped Carbon: A Class of Highly Active and Stable Catalysts in Acid, Base and Polymer Electrolyte Membrane Fuel Cell",2018,OMFeNC-800,1,0,0,0,0,0,0.0475,4.75,0.061,0.092,0,,,,,,,,,,SBA-15/HEMIN/PTFE,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,1000,,,,,,,,,,,800,2,,,,0,0,,,,,,,,,,531,0.10099,0.89901,0,0.95,0.78,,,1.5,5,2.8,1,0.4,Nafion 211,25,125,,,100,0,60,200,100,0.2068,335,0,240,0,0.8,0.675,0.62,0.565,0.53,0.5,0.46,0.435,0.405,0.38,0.35,0.325,0.295,0.27,0.24,0.21,0.18156,0.15592,0.1327,0.11157,0.09225,0.07452,0.0582,0.04312,0.02915,0.01617,0.00407,0,0
Effect of Furfuryl Alcohol on Metal Organic Framework-based Fe/N/C Electrocatalysts for Polymer Electrolyte Membrane Fuel Cells,2014,Fe1/50/50-NCZ8-700(5)-950,0,0,0,0,0,0,0.024,2.4,,,0,,,,,,,,,,"FA/Fe(NO3)3.9H2O/1,10-phenanthroline/ZIF-NC",,,,14.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,100,,,,,,,950,0.25,700,1,,,5,0,0,,,,,,,,,,857,0.96264,0.03736,0,0.94,0.76,,,1.5,4.84,4,0.5,,Nafion 211,25,125,2,,100,0,80,60,60,0.1,375,0,435,60,0.9,0.775,0.705,0.655,0.61,0.58,0.53,0.495,0.45,0.41,0.375,0.34,0.3,0.26238,0.22898,0.19914,0.1723,0.14805,0.12602,0.10592,0.08751,0.07059,0.05497,0.04052,0.02711,0.01463,0.00299,0,0
Seeded growth of branched ironenitrogen-doped carbon nanotubes as a high performance and durable non-precious fuel cell cathode,2020,Fe-ZIF',0,0,0,0,0,0,,,,,0,,,,,,,,,,2-methylimidazole/Zn(NO3)2.6H2O/Fe(acac)3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,3,,,,,0,,,,,,,,,,,0.29,0.71,,0.89,0.765,,,1.86,4,4,0.25,,Nafion 211,25,125,3,5,100,,,,,,430,0,280,20,0.9,0.72,0.62,0.58,0.55,0.505,0.49,0.465,0.445,0.41,0.398,0.38,0.37,0.36031,0.35119,0.3426,0.33449,0.32683,0.31957,0.31269,0.30615,0.29994,0.29403,0.28839,0.28301,0.27787,0.27296,0.26826,0.26376
Seeded growth of branched ironenitrogen-doped carbon nanotubes as a high performance and durable non-precious fuel cell cathode,2020,Fe-ZIF＊/CNT-2,0,0,0,0,0,0,0.049,4.9,0.033,,0,,,,,,,,,,MS/FeCl3/2-methylimidazole/Zn(NO3)2.6H2O/Fe(acac)3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,3,,,,,0,,,,,,,,,,,0.25,0.75,,0.89,0.77,,,1.86,4,4,0.25,,Nafion 211,25,125,3,5,100,,,,,,430,0,380,20,0.9,0.72,0.675,0.62,0.595,0.555,0.515,0.49,0.46,0.43,0.405,0.39,0.37,0.35086,0.33328,0.3171,0.30214,0.28827,0.27539,0.26338,0.25216,0.24166,0.2318,0.22254,0.21382,0.20559,0.19781,0.19045,0.18347
Seeded growth of branched ironenitrogen-doped carbon nanotubes as a high performance and durable non-precious fuel cell cathode,2020,Fe-ZIF＊/CNT-1,0,0,0,0,0,0,0.049,4.9,0.033,,0,,,,,,,,,,MS/FeCl3/2-methylimidazole/Zn(NO3)2.6H2O/Fe(acac)3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,3,,,,,0,,,,,,,,,,,0.22,0.78,,0.89,0.77,,,1.86,4,4,0.25,,Nafion 211,25,125,3,5,100,,,,,,480,0,380,20,0.92,0.72,0.675,0.62,0.595,0.56,0.52,0.5,0.485,0.45,0.42,0.405,0.39,0.37556,0.36216,0.34968,0.33805,0.32717,0.31697,0.30739,0.29839,0.28989,0.28188,0.27429,0.26711,0.2603,0.25383,0.24768,0.24182
Effect of Furfuryl Alcohol on Metal Organic Framework-based Fe/N/C Electrocatalysts for Polymer Electrolyte Membrane Fuel Cells,2014,Fe1/20/80-NCZ8FA-1050(5)-950,0,0,0,0,0,0,0.05,5,,,0,,,,,,,,,,"FA/Fe(NO3)3.9H2O/1,10-phenanthroline/ZIF-NC",,,,7.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,80,,,,,,,950,0.25,1050,1,,,5,0,0,,,,,,,,,,811,0.77108,0.22892,0,0.96,0.8,,,1.5,4.84,4,0.5,,Nafion 211,25,125,2,,100,0,80,60,60,0.1,530,0,710,150,0.9,0.81,0.78,0.745,0.705,0.665,0.635,0.605,0.575,0.55,0.51,0.485,0.46119,0.43955,0.41978,0.40167,0.385,0.36962,0.35537,0.34214,0.32983,0.31833,0.30758,0.2975,0.28803,0.27912,0.27071,0.26278,0.25527
Effect of Furfuryl Alcohol on Metal Organic Framework-based Fe/N/C Electrocatalysts for Polymer Electrolyte Membrane Fuel Cells,2014,Fe1/50/50-NCZ8FA-700(5)-950,0,0,0,0,0,0,0.022,2.2,,,0,,,,,,,,,,"FA/Fe(NO3)3.9H2O/1,10-phenanthroline/ZIF-NC",,,,14.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,100,,,,,,,950,0.25,700,1,,,5,0,0,,,,,,,,,,695,0.94796,0.05204,0,0.93,0.78,,,1.5,4.84,4,0.5,,Nafion 211,25,125,2,,100,0,80,60,60,0.1,600,0,690,75,0.84,0.78,0.74,0.7,0.675,0.645,0.62,0.595,0.58,0.56,0.545,0.51,0.49,0.46,0.425,0.39,0.35,0.315,0.28195,0.25241,0.22583,0.20179,0.17995,0.16001,0.14175,0.12495,0.10945,0.0951,0.08178
Direct atomic-level insight into the active sites ofa high-performance PGM-free ORR catalyst,2017,(CM+PANI)-Fe-C,0,0,0,0,0,0,0.009,0.9,0.035,,0,,,,,,,,,,PANI/BP2000/CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,,,,1,1,8,,900,3,,,,,1.07,1500,0.29,0.71,0,0.92,0.8,,,1.857,5,4,2,,Nafion 211,25,125,3,,100,0,80,200,200,0.03,620,0,1050,50,0.85,0.77,0.745,0.715,0.7,0.675,0.655,0.645,0.63,0.62,0.6,0.59,0.57,0.555,0.54,0.525,0.505,0.49,0.475,0.455,0.44,0.425,0.4,0.38,0.36086,0.34328,0.3271,0.31214,0.29827
Effect of Furfuryl Alcohol on Metal Organic Framework-based Fe/N/C Electrocatalysts for Polymer Electrolyte Membrane Fuel Cells,2014,Fe1/20/80-NCZ8-1050-950,0,0,0,0,0,0,0.052,5.2,,,0,,,,,,,,,,"FA/Fe(NO3)3.9H2O/1,10-phenanthroline/ZIF-NC",,,,7.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,80,,,,,,,950,0.25,1050,1,,,5,0,0,,,,,,,,,,831,0.91796,0.08204,0,0.96,0.78,,,1.5,4.84,4,0.5,,Nafion 211,25,125,2,,100,0,80,60,60,0.1,635,0,880,180,0.9,0.84,0.79,0.75,0.72,0.7,0.665,0.645,0.615,0.6,0.56,0.54,0.51,0.485,0.45,0.425,0.395,0.36656,0.34092,0.3177,0.29657,0.27725,0.25952,0.2432,0.22812,0.21415,0.20117,0.18907,0.17777
Direct atomic-level insight into the active sites ofa high-performance PGM-free ORR catalyst,2017,(CM+PANI)-Fe-C,0,0,0,0,0,0,0.009,0.9,0.035,,0,,,,,,,,,,PANI/BP2000/CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,,,,1,1,8,,900,3,,,,,1.07,1500,0.29,0.71,0,0.92,0.8,,,1.857,5,4,2,,Nafion 211,25,125,3,,100,0,80,200,200,0.1,870,1,2150,175,0.9,0.81,0.79,0.77,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.675,0.665,0.65,0.64,0.635,0.62,0.61,0.6,0.59,0.575,0.565,0.55,0.545,0.535,0.52,0.51,0.505,0.50011
Direct atomic-level insight into the active sites ofa high-performance PGM-free ORR catalyst,2017,(CM+PANI)-Fe-C,0,0,0,0,0,0,0.009,0.9,0.035,,0,,,,,,,,,,PANI/BP2000/CM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,,,,1,1,8,,900,3,,,,,1.07,1500,0.29,0.71,0,0.92,0.8,,,1.857,5,4,2,,Nafion 211,25,125,3,,100,0,80,200,200,0.2,940,1,2100,230,0.92,0.84,0.802,0.785,0.77,0.75,0.74,0.73,0.72,0.71,0.7,0.695,0.68,0.67,0.66,0.65,0.64,0.635,0.625,0.615,0.605,0.6,0.595,0.58,0.575,0.565,0.555,0.55,0.54511
"Stabilization of Iron-Based Fuel Cell Catalysts by Non-Catalytic
Platinum",2018,Fe1.0d,0,0,0,0,0,0,0.01,1,,,0,,,,,,,,,,"ZIF-8/Fe(Ac)2/1,10-phenanthroline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,1,,,,,0,,,,,,,,,,,,,,,,,,1.42,4.84,,0.5,0.46,Nafion 211,25,130,2,,100,,80,50,50,,315,0,290,20,0.95,0.71,0.695,0.595,0.55,0.52,0.48,0.45,0.42156,0.39592,0.3727,0.35157,0.33225,0.31452,0.2982,0.28312,0.26915,0.25617,0.24407,0.23277,0.2222,0.21228,0.20296,0.19419,0.18591,0.17808,0.17068,0.16366,0.15701
"Stabilization of Iron-Based Fuel Cell Catalysts by Non-Catalytic
Platinum",2018,Pt1.0Fe1.0d,0,0.01,0,0,0,0,,,,,0,,,,,,,,,,"Pt(NH3)4Cl2﹞H2O/ZIF-8/Fe(Ac)2/1,10-phenanthroline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1.42,4.84,,0.5,0.46,Nafion 211,25,130,2,,100,,80,50,50,,343,0,350,20,0.95,0.72,0.66,0.625,0.59,0.55,0.525,0.49,0.45695,0.42741,0.40083,0.37679,0.35495,0.33501,0.31675,0.29995,0.28445,0.2701,0.25678,0.24438,0.23281,0.22198,0.21184,0.20231,0.19335,0.1849,0.17692,0.16937,0.16222
Highly efficient nonprecious metal catalyst prepared with metal每organic framework in a continuous carbon nanofibrous network,2015,ZIF8_0%,0,0,0,0,0,0,0.0056,0.56,0.0685,,0,,,,,,,,,,"TPI/ZIF-8/PAN/poly
(methyl methacrylate) ",,,,,,,,,,,,0.02439,,,,,,,,,,,,,,,,,,,,,,0,,,,,,75,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,1000,1,,,,1,1,25,0.67,,,700,1,,,,156,0.41,0.59,0,,,,,1,5,2,0.3,0.2,Nafion211,25,130,2,13.61,100,0,80,300,400,0.2,374,0,200,30,0.86,0.66,0.6,0.55,0.51,0.49,0.45,0.435,0.42,0.39,0.37,0.34,0.31,0.3,0.275,0.25,0.235,0.215,0.2,0.18,0.165,0.15,0.125,0.1,0.07619,0.05455,0.03478,0.01667,0.00E+00
Networking Pyrolyzed Zeolitic Imidazolate Frameworks by Carbon Nanotubes Improves Conductivity and Enhances Oxygen-Reduction Performance in Polymer-ElectrolyteMembrane Fuel Cells,2017,ZIF'-FA-P,0,0,0.32,0,0,0,0.0532,5.32,0.07432,0.10185,0,,,,,,,,,,,,,,,,,,74.81,,,,,,,,,,,,,,,,,,,,,1496.17,,,3700,,,5642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,2,,,5,0,0,,,,,,,,,,904.5,0.28811,0.71189,0,0.9,0.82,,,1,1.69,4.5,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.1,450,0,660,150,0.97,0.84,0.78,0.74,0.705,0.66,0.625,0.58,0.55,0.525,0.455,0.38,0.34,0.26,0.18657,0.12428,0.07077,0.02432,0,0,0,0,0,0,0,0,0,0,0
Networking Pyrolyzed Zeolitic Imidazolate Frameworks by Carbon Nanotubes Improves Conductivity and Enhances Oxygen-Reduction Performance in Polymer-ElectrolyteMembrane Fuel Cells,2017,ZIF'-CNT-P,0,0,0.03,0,0,0,0.0509,5.09,0.07722,0.11,0,,,,,,,,,,,,,,,,,,74.81,,,,,,,,,,,,,,,,,,,,,1496.17,,,3700,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,2,,,5,0,0,,,,,,,,,,495.99,0.25259,0.74741,0,0.9,0.81,,,1,1.69,4.5,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.1,515,0,300,16,0.82,0.695,0.64,0.6,0.57,0.54,0.51,0.495,0.475,0.455,0.43,0.41,0.4,0.375,0.36,0.345,0.325,0.305,0.29,0.26,0.25,0.225,0.21,0.2,0.175,0.15119,0.12955,0.10978,0.09167
Hierarchically Ordered Porous Carbon with Atomically Dispersed FeN4 for Ultraefficient Oxygen Reduction Reaction in Proton-Exchange Membrane Fuel Cells,2020,FeN4/C,1,0,0.0247,0,0,0,0.0146,1.46,0.0535,0.0287,0,,,,,,,,,,Zn(NO3)2﹞6H2O/Fe(NO3)3﹞9H2O/ 2-methylimidazole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,2,,,,0,0,,,,,,,,,,1483.2,,,,0.86,0.72,,,,,4,1,0.4,Nafion 212,50,130,3,,100,0,80,200,200,0.101,550,0,400,100,0.94,0.8,0.7,0.64,0.6,0.56,0.53,0.51,0.485,0.47,0.45,0.43,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.25,0.225,0.21,0.2,0.18,0.16086,0.14328,0.1271,0.11214
Highly efficient nonprecious metal catalyst prepared with metal每organic framework in a continuous carbon nanofibrous network,2015,ZIF8_14%,0,0,0,0,0,0,0.0056,0.56,0.0702,,0,,,,,,,,,,"TPI/ZIF-8/PAN/poly
(methyl methacrylate)",,,,,,,,,,,,0.02439,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,0.5016,,,,0.3344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,1000,1,,,,1,1,25,0.67,,,700,1,,,,627,0.7,0.3,0,,,,,1,5,2,0.3,0.2,Nafion211,25,130,2,13.61,100,0,80,300,400,0.2,609,0,450,50,0.9,0.745,0.685,0.64,0.61,0.59,0.56,0.535,0.515,0.5,0.475,0.46,0.44,0.42,0.405,0.39,0.365,0.35,0.335,0.31,0.3,0.29,0.255,0.245,0.225,0.2,0.17619,0.15455,0.13478
Networking Pyrolyzed Zeolitic Imidazolate Frameworks by Carbon Nanotubes Improves Conductivity and Enhances Oxygen-Reduction Performance in Polymer-ElectrolyteMembrane Fuel Cells,2017,ZIF'-P,0,0,0.92,0,0,0,0.0553,5.53,0.07288,0.12901,0,,,,,,,,,,,,,,,,,,74.81,,,,,,,,,,,,,,,,,,,,,1496.17,,,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,2,,,5,0,0,,,,,,,,,,706.3,0.35408,0.64592,0,0.9,0.81,,,1,1.69,4.5,0.4,0.4,Nafion211,25,130,2.25,3,100,0,80,300,300,0.1,620,0,625,100,0.94,0.795,0.75,0.715,0.69,0.655,0.625,0.595,0.56,0.54,0.51,0.495,0.47,0.45,0.42,0.4,0.39,0.37,0.35,0.32,0.3,0.275,0.255,0.24,0.22,0.195,0.17119,0.14955,0.12978
Highly active oxygen reduction non-platinum group metal electrocatalyst without direct metal每nitrogen coordination,2015,FePhen@MOF-ArNH3,0,0,0.0013,0,0,0,0.031,3.1,,,0,,,,,,,,,,ZIF-8/Phen/Fe(Ac)2,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,10800,,,5900,,,,,,,,,,,,,,,,,,,,,,,,,12960,,,,,,,,,,,,,,,,,,,,,1050,0.3,1050,1,,,,0,0,,,,,,,,,,1200,0.60539,0.39461,0,0.93,0.77,,,1.5,5,3,0.4,0.46,Nafion 211,25,130,5,9.0718,100,0,80,,,0.15168,680,0,750,70,0.88,0.775,0.74,0.705,0.68,0.65,0.63,0.605,0.59,0.565,0.55,0.525,0.505,0.485,0.46,0.44,0.42,0.4,0.375,0.35,0.335,0.31,0.29,0.265,0.25,0.23,0.21,0.19086,0.17328
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,4.2,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,705,0,1080,300,1,0.86,0.835,0.8,0.775,0.755,0.735,0.7,0.68,0.65,0.62,0.595,0.56,0.535,0.5,0.475,0.435,0.4,0.375,0.325,0.29,0.24,0.2,0.16238,0.12898,0.09914,0.0723,0.04805,0.02602
Single-Atom to Single-Atom Grafting of Pt1 onto Fe-N4 Center: Pt1@Fe-N-C Multifunctional Electrocatalyst with Significantly Enhanced Properties,2018,Pt1@Fe-N-C,1,0.021,0,0,0,0,0.01,1,0.0688,0.0764,0,,,,,,,,,,"ZIF-8/1,10-phenanthroline/Chloroplatinic acid/FeAc",,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,900,0.167,1000,1,,,,1,0.5,25,6,450,2,,,,,1.2,979.8,0.95028,0.04972,0,0.93,0.8,12,,1,5,1,0.45,0.2,Nafion 211,25,130,2,13.34,100,0,80,300,400,0.206,710,1,925,130,1,0.82,0.77,0.745,0.72,0.7,0.675,0.65,0.625,0.605,0.58,0.55,0.535,0.515,0.48,0.46,0.435,0.415,0.39,0.36,0.35,0.32,0.3,0.27,0.25,0.21328,0.1971,0.18214,0.16827
Highly efficient nonprecious metal catalyst prepared with metal每organic framework in a continuous carbon nanofibrous network,2015,ZIF8_39%,0,0,0,0,0,0,0.0056,0.56,0.0983,,0,,,,,,,,,,"TPI/ZIF-8/PAN/poly
(methyl methacrylate)",,,,,,,,,,,,0.02439,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,0.366,,,,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,1000,1,,,,1,1,25,0.67,,,700,1,,,,863,0.78,0.22,0,,,,,1,5,2,0.3,0.2,Nafion211,25,130,2,13.61,100,0,80,300,400,0.2,712,1,800,150,0.99,0.81,0.77,0.725,0.7,0.675,0.64,0.62,0.6,0.575,0.55,0.525,0.51,0.495,0.47,0.45,0.425,0.41,0.395,0.375,0.355,0.325,0.305,0.29,0.275,0.25,0.23,0.21,0.19086
Single-Atom to Single-Atom Grafting of Pt1 onto Fe-N4 Center: Pt1@Fe-N-C Multifunctional Electrocatalyst with Significantly Enhanced Properties,2018,Fe-N-C,1,0,0,0,0,0,0.012,1.2,0.0679,0.075,0,,,,,,,,,,"ZIF-8/1,13-phenanthroline/FeAc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,900,0.167,1000,1,,,,1,0.5,25,6,,,,,,,1.2,744,0.94997,0.05003,0,0.9,0.79,36,,1,5,3,0.45,0.2,Nafion 211,25,130,2,13.34,100,0,80,300,400,0.206,720,1,1560,400,1.02,0.86,0.83,0.81,0.79,0.77,0.76,0.75,0.74,0.725,0.71,0.7,0.675,0.645,0.62,0.59,0.56,0.525,0.5,0.475,0.44,0.41,0.375,0.35,0.32619,0.30455,0.28478,0.26667,0.25
Environmental-Friendly Solid Synthesis of Fe-N-C Electrocatalyst with Fe Exclusively in Atomically Dispersed Fe-N4 Moieties for High-Power Proton Exchange Membrane Fuel Cells,2017,Fe2-Z8-C,0,0,0,0,0,0,0.03,3,,,0,,,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,,,,,,,,,,500,,,,,,1000,2,,,10,,0,,,,,,,,,,1264.9,0.91894,0.08106,0,0.902,0.805,,,1,5,0.63,0.33,0.2,Nafion 211,25,130,1.5,1.5,100,0,80,300,400,0.25,740,1,500,30,0.925,0.72,0.68,0.65,0.625,0.6,0.58,0.56,0.54,0.525,0.505,0.495,0.475,0.455,0.445,0.425,0.41,0.4,0.39,0.37,0.355,0.345,0.33,0.315,0.305,0.295,0.29,0.275,0.26056
Highly efficient nonprecious metal catalyst prepared with metal每organic framework in a continuous carbon nanofibrous network,2015,ZIF8_24%,0,0,0,0,0,0,0.0056,0.56,0.0903,,0,,,,,,,,,,"TPI/ZIF-8/PAN/poly
(methyl methacrylate)",,,,,,,,,,,,0.02439,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,0.4416,,,,0.2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,1,1000,1,,,,1,1,25,0.67,,,700,1,,,,809,0.84,0.16,0,0.92,0.8,,2.4,1,5,2,0.3,0.2,Nafion211,25,130,2,13.61,100,0,80,300,400,0.2,751,1,900,180,0.99,0.835,0.795,0.76,0.725,0.7,0.675,0.645,0.625,0.6,0.575,0.55,0.535,0.51,0.49,0.475,0.45,0.425,0.405,0.395,0.37,0.35,0.335,0.31,0.295,0.275,0.25,0.24,0.23031
